Rk ▴,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,MP,next-page-from-root,next-page-from-root-href,col,next-page-from-next-page,next-page-from-next-page-href
"null","Wesley Matthews","2015-16","29","DAL","NBA","5","5","27.2","3.0","8.6","1.0","3.2","2.0","5.4","2.2","3.0","0.4","1.8","2.2","1.4","0.4","0.0","0.6","2.2","10.2",".349",".313",".370",".465",".733",".514","27.2","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Hassan Whiteside","2015-16","26","MIA","NBA","7","7","29.7","6.6","10.3","6.6","10.3","0.0","0.0","1.6","2.4","2.1","8.7","10.9","0.4","0.7","4.0","2.6","2.1","14.7",".639",".639","",".639",".647",".648","29.7","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Harrison Barnes","2015-16","23","GSW","NBA","8","8","29.8","4.6","10.4","3.8","7.1","0.9","3.3","2.6","2.9","1.3","4.0","5.3","2.6","0.6","0.1","1.0","1.9","12.8",".446",".526",".269",".488",".913",".548","29.8","","","","",""
"null","Jerryd Bayless","2015-16","27","MIL","NBA","7","3","30.9","3.6","9.0","1.7","4.6","1.9","4.4","1.7","2.3","0.3","2.1","2.4","3.9","0.9","0.4","2.0","1.7","10.7",".397",".375",".419",".500",".750",".535","30.9","","","","",""
"null","Jahlil Okafor","2015-16","20","PHI","NBA","7","7","33.9","8.3","16.9","8.3","16.9","0.0","0.0","3.3","5.3","2.4","4.4","6.9","1.3","0.3","1.3","2.7","3.0","19.9",".492",".492","",".492",".622",".518","33.9","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Timofey Mozgov","2015-16","29","CLE","NBA","7","7","21.4","3.3","6.4","3.1","6.0","0.1","0.4","2.0","2.4","1.6","3.6","5.1","0.7","0.0","1.1","1.3","2.0","8.7",".511",".524",".333",".522",".824",".581","21.4","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Giannis Antetokounmpo","2015-16","21","MIL","NBA","6","6","37.0","7.2","12.5","6.3","10.7","0.8","1.8","4.2","4.8","1.3","6.0","7.3","2.2","1.2","0.8","2.7","3.5","19.3",".573",".594",".455",".607",".862",".661","37.0","","","","",""
"null","Dwight Powell","2015-16","24","DAL","NBA","6","0","22.7","4.8","9.5","4.8","9.5","0.0","0.0","1.7","3.0","1.5","6.5","8.0","1.3","0.5","0.7","0.5","3.2","11.3",".509",".509","",".509",".556",".524","22.7","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Anthony Tolliver","2015-16","30","DET","NBA","6","0","20.7","1.2","4.2","0.2","0.8","1.0","3.3","0.2","0.8","0.2","2.7","2.8","0.3","0.5","0.2","0.2","1.3","3.5",".280",".200",".300",".400",".200",".386","20.7","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Marcin Gortat","2015-16","31","WAS","NBA","6","6","28.0","3.5","7.3","3.5","7.3","0.0","0.0","2.7","3.2","1.3","6.7","8.0","1.8","0.7","1.2","2.7","2.3","9.7",".477",".477","",".477",".842",".554","28.0","","","","",""
"null","LaMarcus Aldridge","2015-16","30","SAS","NBA","7","7","29.4","6.0","13.1","6.0","12.6","0.0","0.6","3.1","3.7","2.1","7.0","9.1","2.0","0.3","0.7","1.9","2.3","15.1",".457",".477",".000",".457",".846",".512","29.4","","","","",""
"null","Kevin Durant","2015-16","27","OKC","NBA","7","7","37.3","10.4","20.7","7.7","14.3","2.7","6.4","6.6","7.4","0.3","6.6","6.9","2.9","0.9","1.4","2.3","1.9","30.1",".503",".540",".422",".569",".885",".628","37.3","","","","",""
"null","Stanley Johnson","2015-16","19","DET","NBA","7","0","20.3","3.0","8.0","2.4","5.7","0.6","2.3","1.0","1.9","1.4","2.6","4.0","1.1","0.3","0.0","1.0","2.3","7.6",".375",".425",".250",".411",".538",".429","20.3","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Paul George","2015-16","25","IND","NBA","8","8","35.9","7.5","17.9","5.4","11.8","2.1","6.1","6.4","7.4","2.3","6.4","8.6","4.9","1.6","0.3","3.8","2.8","23.5",".420",".457",".347",".479",".864",".556","35.9","","","","",""
"null","Joakim Noah","2015-16","30","CHI","NBA","7","0","20.6","1.0","3.1","1.0","3.1","0.0","0.0","0.4","1.4","2.1","5.0","7.1","3.6","0.7","0.7","2.1","3.0","2.4",".318",".318","",".318",".300",".322","20.6","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Dwyane Wade","2015-16","34","MIA","NBA","7","7","29.3","6.9","15.6","6.0","13.4","0.9","2.1","4.3","5.3","0.7","2.0","2.7","4.1","1.1","0.7","2.3","1.7","18.9",".440",".447",".400",".468",".811",".527","29.3","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Justise Winslow","2015-16","19","MIA","NBA","7","0","28.0","3.0","6.6","2.6","4.9","0.4","1.7","0.7","0.9","1.0","3.9","4.9","1.3","0.6","0.1","1.3","2.6","7.1",".457",".529",".250",".489",".833",".514","28.0","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=200"
"null","DeAndre Jordan","2015-16","27","LAC","NBA","7","7","32.0","4.1","5.4","4.1","5.4","0.0","0.0","1.9","5.4","2.9","10.4","13.3","1.1","0.3","3.9","1.6","3.0","10.1",".763",".763","",".763",".342",".649","32.0","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Al Horford","2015-16","29","ATL","NBA","9","9","31.8","7.0","14.2","6.1","10.9","0.9","3.3","1.8","2.0","2.3","5.7","8.0","2.7","0.8","1.7","1.7","1.6","16.7",".492",".561",".267",".523",".889",".552","31.8","","","","",""
"null","Darren Collison","2015-16","28","SAC","NBA","6","1","30.7","5.8","12.8","4.5","9.7","1.3","3.2","2.8","3.8","0.3","0.8","1.2","5.2","0.8","0.0","2.0","1.8","15.8",".455",".466",".421",".506",".739",".545","30.7","","","","",""
"null","Steven Adams","2015-16","22","OKC","NBA","7","7","25.3","2.9","4.6","2.9","4.6","0.0","0.0","0.7","1.3","2.1","3.4","5.6","1.0","0.4","2.3","1.4","2.7","6.4",".625",".625","",".625",".556",".626","25.3","","","","",""
"null","Dirk Nowitzki","2015-16","37","DAL","NBA","6","6","28.0","6.5","12.7","4.8","9.3","1.7","3.3","2.3","2.5","0.7","6.8","7.5","1.8","0.7","0.3","0.8","1.3","17.0",".513",".518",".500",".579",".933",".617","28.0","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Enes Kanter","2015-16","23","OKC","NBA","7","0","21.4","5.6","9.4","5.4","9.3","0.1","0.1","1.6","1.7","3.6","5.7","9.3","1.0","0.0","0.6","2.0","3.3","12.9",".591",".585","1.000",".598",".917",".631","21.4","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Patrick Patterson","2015-16","26","TOR","NBA","7","0","20.7","2.1","6.1","0.9","2.4","1.3","3.7","0.3","0.3","0.3","2.3","2.6","1.3","0.9","0.4","1.0","1.6","5.9",".349",".353",".346",".453","1.000",".467","20.7","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Gordon Hayward","2015-16","25","UTA","NBA","6","6","33.7","5.3","12.8","4.0","9.2","1.3","3.7","3.5","4.8","0.5","3.2","3.7","2.5","0.7","0.3","2.0","2.5","15.5",".416",".436",".364",".468",".724",".518","33.7","","","","",""
"null","Luol Deng","2015-16","30","MIA","NBA","7","7","27.7","3.7","9.0","2.7","5.9","1.0","3.1","1.0","1.6","1.3","2.7","4.0","1.0","0.6","0.4","0.9","1.7","9.4",".413",".463",".318",".468",".636",".486","27.7","","","","",""
"null","Tristan Thompson","2015-16","24","CLE","NBA","7","0","25.1","3.6","5.3","3.6","5.3","0.0","0.0","1.0","2.0","2.3","7.7","10.0","0.7","0.4","0.7","0.6","2.4","8.1",".676",".676","",".676",".500",".660","25.1","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Taj Gibson","2015-16","30","CHI","NBA","8","0","20.6","2.3","4.3","2.3","4.3","0.0","0.0","1.4","2.3","1.8","3.4","5.1","1.3","0.4","1.1","1.4","3.0","5.9",".529",".529","",".529",".611",".561","20.6","","","","",""
"null","Jeff Teague","2015-16","27","ATL","NBA","9","9","31.6","6.4","14.8","5.4","11.6","1.0","3.2","4.8","5.6","0.4","2.7","3.1","6.6","1.4","0.7","3.3","1.9","18.7",".436",".471",".310",".470",".860",".542","31.6","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Goran Dragic","2015-16","29","MIA","NBA","7","7","30.1","4.1","9.0","3.3","6.6","0.9","2.4","1.9","2.0","0.6","2.1","2.7","4.1","0.7","0.4","2.3","2.7","11.0",".460",".500",".353",".508",".929",".557","30.1","","","","",""
"null","Trevor Ariza","2015-16","30","HOU","NBA","7","7","36.9","3.4","10.3","1.3","4.1","2.1","6.1","2.1","2.4","0.7","5.0","5.7","2.0","1.9","0.3","1.4","2.7","11.1",".333",".310",".349",".438",".882",".491","36.9","","","","",""
"null","Kevin Martin","2015-16","32","MIN","NBA","5","0","27.2","5.0","11.4","4.0","7.8","1.0","3.6","6.6","7.8","0.0","1.8","1.8","0.6","0.2","0.0","1.4","2.4","17.6",".439",".513",".278",".482",".846",".593","27.2","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
"null","Maurice Harkless","2015-16","22","POR","NBA","8","0","22.4","3.0","6.1","2.0","4.0","1.0","2.1","0.9","1.5","1.9","2.9","4.8","1.1","0.4","0.6","1.4","1.6","7.9",".490",".500",".471",".571",".583",".580","22.4","","","","",""
"null","Kenneth Faried","2015-16","26","DEN","NBA","7","7","27.7","5.9","9.9","5.9","9.9","0.0","0.0","2.1","3.6","3.4","6.6","10.0","1.1","0.4","0.9","1.7","2.4","13.9",".594",".594","",".594",".600",".606","27.7","","","","",""
"null","Langston Galloway","2015-16","24","NYK","NBA","7","0","27.9","3.6","7.7","1.3","4.0","2.3","3.7","2.4","3.3","1.0","4.0","5.0","2.0","1.0","0.1","0.4","1.9","11.9",".463",".321",".615",".611",".739",".647","27.9","","","","",""
"null","Marcus Morris","2015-16","26","DET","NBA","7","7","38.9","6.0","14.1","4.7","10.6","1.3","3.6","3.4","4.9","2.1","4.1","6.3","2.1","1.3","0.3","1.9","2.3","16.7",".424",".446",".360",".470",".706",".513","38.9","Next page","http://www.basketball-reference.com/play-index/psl_finder.cgi?request=1&match=single&type=per_game&per_minute_base=36&per_poss_base=100&lg_id=NBA&is_playoffs=N&year_min=2016&year_max=2016&franch_id=&season_start=1&season_end=-1&age_min=0&age_max=99&shoot_hand=&height_min=0&height_max=99&birth_country_is=Y&birth_country=&birth_state=&college_id=&draft_year=&is_active=&debut_yr_aba_start=&debut_yr_aba_end=&debut_yr_nba_start=&debut_yr_nba_end=&is_hof=&is_as=&as_comp=gt&as_val=&award=&pos_is_g=Y&pos_is_gf=Y&pos_is_f=Y&pos_is_fg=Y&pos_is_fc=Y&pos_is_c=Y&pos_is_cf=Y&qual=&c1stat=mp_per_g&c1comp=gt&c1val=20&c2stat=&c2comp=gt&c2val=&c3stat=&c3comp=gt&c3val=&c4stat=&c4comp=gt&c4val=&c5stat=&c5comp=gt&c6mult=1.0&c6stat=&order_by=player&order_by_asc=Y&offset=100","","",""
