RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WAR,next-page,next-page-href,next-next-page,next-next-page-href
"326","Kyle Singler, SF","DET/OKC","80","21.8","-1.25","-1.29","-2.54","-0.21","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/9/sort/RPM"
"58","Chandler Parsons, SF","DAL","66","33.1","2.47","0.07","2.54","6.79","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
"126","Luis Scola, PF","IND","81","20.5","-0.30","0.87","0.57","3.03","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/4/sort/RPM"
"167","Goran Dragic, SG","MIA/PHX","78","33.8","1.76","-2.10","-0.34","3.36","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/5/sort/RPM"
"375","Marco Belinelli, SF","SA","62","22.4","0.00","-3.12","-3.12","-0.66","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/10/sort/RPM"
"379","Kyle Anderson, SF","SA","33","10.8","-2.39","-0.87","-3.26","-0.20","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/10/sort/RPM"
"53","Ricky Rubio, PG","MIN","22","31.5","0.38","2.33","2.71","2.25","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","",""
"397","Jeff Green, SF","BOS/MEM","78","31.5","-1.51","-2.05","-3.56","-1.85","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/10/sort/RPM"
"280","Jared Cunningham, SG","LAC","19","4.7","-1.03","-0.72","-1.75","0.04","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/7/sort/RPM"
"32","Nikola Mirotic, PF","CHI","82","20.2","1.75","1.75","3.50","5.92","","","",""
"434","Nik Stauskas, SG","SAC","73","15.4","-1.88","-2.45","-4.33","-1.41","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/11/sort/RPM"
"228","Omer Asik, C","NO","76","26.1","-3.01","1.83","-1.18","1.41","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/6/sort/RPM"
"272","Andrew Wiggins, SG","MIN","82","36.2","0.47","-2.13","-1.66","1.28","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/2/sort/RPM","","http://espn.go.com/nba/statistics/rpm/_/year/2015/page/7/sort/RPM"
